question,answer,label
What happens after fertilization?,"Seed grows, flower becomes fruit.",good
Why are seeds important?,New plants grow from them.,avarage
Name three parts of a seed.,"Coat, embryo, cotyledon.",good
What is the seed coat?,Protects seed.,avarage
Compare gram and maize seeds.,"Gram: 2 cotyledons, maize: 1.",good
Which seed has endosperm: gram or maize?,Maize has it.,good
Which seed grows faster: gram or maize?,Maize grows faster.,good
How do seeds spread?,"Wind, water, animals spread them.",good
Why do some seeds have wings?,Wings help them fly in wind.,good
What is pollution?,Harmful stuff in environment.,good
Name three types of pollution.,"Air, water, land pollution.",good
What is air pollution?,Bad gases in air.,good
What is water pollution?,Dirty things in water.,good
What is land pollution?,Trash makes land dirty.,good
Give one cause of air pollution.,Factory smoke.,good
Give one cause of water pollution.,Dumping trash in rivers.,good
Give one cause of land pollution.,Throwing plastic on ground.,good
How does unclean water affect life?,Makes animals sick.,good
What is smog?,Dirty fog hard to breathe.,good
What gases are commonly released in air pollution?,"CO2, CO, SO2.",good
What is the effect of carbon dioxide on the environment?,Makes Earth hotter.,good
How does air pollution affect plants?,Hurts plant leaves.,good
How does air pollution affect animals?,Animals cant breathe well.,good
How does air pollution affect humans?,Gives people lung diseases.,good
How does water pollution affect fish?,Fish die from dirty water.,good
How does water pollution affect humans?,Makes people sick.,avarage
What is the role of garbage in land pollution?,Trash makes land dirty.,good
What is a biodegradable material?,Stuff that rots naturally.,good
What is a non-biodegradable material?,Stuff that wont rot.,good
Give one example of biodegradable waste.,Banana peel.,good
Give one example of non-biodegradable waste.,Plastic bottles.,good
Why is plastic harmful to the environment?,"Stays forever, hurts nature.",good
How can non-biodegradable waste harm animals?,Animals eat trash and die.,good
What is recycling?,Making old things new again.,good
Name one item that can be recycled.,Newspaper.,good
How can we reduce air pollution?,"Grow trees, less smoke.",good
How can we reduce water pollution?,Dont dump in water.,good
How can we reduce land pollution?,"Use trash cans, recycle.",good
What are fossil fuels?,"Coal, oil from dead things.",good
How do fossil fuels cause pollution?,Make bad smoke when burned.,good
What gases are released when fossil fuels are burned?,CO2 and bad gases.,good
What are greenhouse gases?,Gases that heat Earth.,good
Name two greenhouse gases.,CO2 and methane.,good
What is global warming?,Earth getting hotter.,good
How does global warming affect Earth?,"Ice melts, weather changes.",good
What is the greenhouse effect?,Gases trap suns heat.,good
Why should we reduce the use of fossil fuels?,"Less pollution, save fuel.",good
What is an eco-friendly product?,Earth-safe products.,good
How can we be eco-friendly at home?,"Reuse bags, save water.",good
What is composting?,Making dirt from food scraps.,good
How does composting help the environment?,"Less trash, good soil.",good
What happens when too much plastic is dumped in landfills?,Land stays dirty for years.,good
Why should we avoid using plastic bottles?,Bad for Earth forever.,good
How can schools reduce pollution?,Teach kids to recycle.,good
What is the importance of planting trees?,Trees make clean air.,good
What is noise pollution?,Too much loud noise.,good
Give one way to reduce noise pollution.,Less car honking.,good
What is the 3Rs principle?,"Less, Use Again, Recycle.",good
Why is it important to care for the environment?,For clean Earth future.,good
What is matter?,Stuff with weight and size.,good
What is an observable change in matter?,Change you can notice.,good
What is a physical change?,Change looks only.,good
What is a chemical change?,Makes something new.,good
Give an example of a physical change.,Ice turning to water.,good
Give an example of a chemical change.,Paper burning to ash.,good
Is boiling water a physical change?,"Yes, just water vapor.",good
Is rusting of iron a chemical change?,"Yes, makes rust.",good
What is melting?,Solid becomes liquid.,good
What is freezing?,Liquid becomes solid.,good
What is boiling?,Liquid to gas with heat.,good
What is evaporation?,Liquid dries to gas.,good
What is condensation?,Gas turns to liquid.,good
Name three states of matter.,"Solid, liquid, gas.",good
Is breaking a glass a physical or chemical change?,Physical change.,good
What is solute?,What gets dissolved.,good
What is solvent?,What does dissolving.,good
What is a solution?,Solute + solvent mix.,good
What is a dilute solution?,Weak mixture.,good
What is a concentrated solution?,Strong mixture.,good
What is decaying?,Rotting is chemical.,good
Is burning wood a chemical change?,"Yes, makes new stuff.",good
Is dissolving salt in water a physical change?,"Yes, still salt water.",good
Is cooking food a chemical change?,"Yes, changes food.",good
Can chemical changes be reversed?,"No, permanent.",good
Can physical changes be reversed?,"Yes, can undo.",good
What is the difference between physical and chemical change?,Physical: same stuff. Chemical: new stuff.,good
Does color change indicate a chemical change?,"Yes, usually.",good
What change is observed when iron rusts?,Gets red and flaky.,good
What is a reversible change?,Can go back.,good
What is an irreversible change?,Cant go back.,good
Is melting chocolate a physical change?,"Yes, can re-solidify.",good
What happens when paper is burnt?,Burns to ash.,good
Does temperature affect chemical changes?,Heat makes reactions faster.,good
What change happens in boiling water?,Water boils to steam.,good
Is fermentation a chemical change?,"Yes, makes new things.",good
Why is cutting fruit a physical change?,Only shape changes.,good
Is mixing sugar in tea a physical change?,"Yes, still sugar.",good
Can physical and chemical changes happen together?,"Yes, egg cooking.",good
What is freezing point?,When liquid freezes.,good
What is boiling point?,When liquid boils.,good
Why is steam rising from hot water a physical change?,Still just water.,good
What is crystallization?,Making crystals.,good
What type of change is digestion?,Chemical change.,good
What is the role of energy in chemical change?,Needs energy.,good
What happens to molecules in chemical change?,Makes new molecules.,good
What happens to molecules in physical change?,Same molecules move.,good
Why is heating water not a chemical change?,Still water after.,good
Is mixing oil and water a chemical change?,"No, just mix.",good
What is the result of mixing baking soda and vinegar?,Makes bubbles.,good
What is light?,Energy for seeing.,good
What is a luminous object?,Makes own light.,good
Give two examples of luminous objects.,"Sun, bulb.",good
What is a non-luminous object?,produce,poor
Give two examples of non-luminous objects.,"Table, moon.",good
What is a transparent object?,See through clearly.,good
What is a translucent object?,See through blurry.,good
What is an opaque object?,Cant see through.,good
What is reflection of light?,Light bounces back.,good
Which object reflects light the most?,Mirror best.,good
What is refraction of light?,Light bends.,good
Give an example of refraction.,Bent straw in water.,good
What is a shadow?,shadow,poor
What is sound?,Sound is something we hear.,avarage
What causes sound?,validation,poor
How does sound travel?,It flies through space.,poor
In which material does sound travel fastest?,In air,avarage
In which material does sound travel slowest?,sound,poor
What is pitch?,How loud it is,avarage
What is volume?,The size of something,poor
What is intensity of sound?,intensity,poor
What is noise?,Any sound,avarage
What is a pleasant sound?,Birds singing,good
What is an unpleasant sound?,Alarm clock,good
What is noise pollution?,Loud sounds everywhere,good
Give two sources of noise pollution.,Cars and music,good
How does noise pollution affect humans?,Makes us deaf,avarage
How can we reduce noise pollution?,reduce noise,poor
Why should we not use horns unnecessarily?,Theyre annoying,good
How can planting trees help in reducing noise?,Trees make oxygen,avarage
Can sound travel in vacuum?,"Yes, in space",poor
Why can we see lightning before we hear thunder?,Light is brighter,avarage
What is echo?,When sound comes back,good
Where are echoes heard clearly?,In caves,good
What is the speed of sound in air?,Very fast,poor
What is the speed of light?,km,poor
What helps us hear sound?,Our brain,avarage
What is the source of natural light?,The Moon,poor
Name two artificial sources of light.,Fire and stars,avarage
What happens when light hits a mirror?,It disappears,poor
How does a lens work?,It makes things bigger,avarage
What is vibration?,Shaking,good
What is a prism?,A triangle glass,avarage
How does light help plants?,Makes them green,avarage
What is a periscope?,A telescope,avarage
What is a ray of light?,A sunbeam,good
What is the effect of too much sound on sleep?,Keeps you awake,good
What should we do to avoid noise in class?,Be quiet,good
Can light bend?,No,poor
Is laser a form of light?,"No, its heat",poor
What is electricity?,Power in wires,avarage
What is static electricity?,built_up,poor
How is static electricity produced?,From batteries,poor
Give an example of static electricity.,Lightning,avarage
What is electric charge?,matter,poor
What are the types of electric charges?,Big and small,poor
What happens when opposite charges meet?,They explode,poor
What happens when like charges meet?,They stick,poor
What are the properties of charges?,They shock you,poor
What causes electric charge?,electrons,poor
What is electric current?,Fast electricity,avarage
What unit is used to measure electric current?,Volts,poor
What is needed to make electric current flow?,Wires,avarage
What is an electric circuit?,Path for electric,good
What is a simple circuit?,Battery bulb wire,avarage
What is an open circuit?,    ,poor
What is a closed circuit?,Circuit work good,avarage
What are the main parts of an electric circuit?,Battery wire bulb,good
What is the role of a switch in a circuit?,Turn on off,avarage
What is a conductor?,Let electric go,avarage
Give two examples of conductors.,  ,poor
What is an insulator?,Stop electric,avarage
Give two examples of insulators.,Plastic wood,good
What is a fuse?,Thing stop too much electric,avarage
What is the use of a fuse?,Save machine,avarage
What happens when a fuse blows?,   ,poor
What is a magnetic material?,Stick to magnet,good
Give examples of magnetic materials.,Iron steel,good
What is a non-magnetic material?,No stick magnet,avarage
Give examples of non-magnetic materials.,    ,poor
What is a magnet?,Thing pull metal,avarage
What are the poles of a magnet?,Top bottom,avarage
What happens when you bring like poles together?,Push away,good
What happens when you bring opposite poles together?,Come together,good
What are the properties of magnets?,Pull push metal,avarage
What is a magnetic field?,  ,poor
What tool is used to detect magnetic direction?,Direction finder,avarage
How does a magnetic compass work?,Show north,avarage
Name two types of magnets.,Big small,poor
What is a bar magnet?,Long magnet,avarage
What is a horseshoe magnet?,U magnet,avarage
What is an electromagnet?,Electric make magnet,avarage
How can you make an electromagnet?,Wire iron battery,good
Name one use of an electromagnet.,  ,poor
What are the advantages of electromagnets?,Can turn off,avarage
Is a magnet a conductor or insulator?,  ,poor
What is the difference between static and current electricity?,One stay one move,avarage
What is lightning?,Sky electric,avarage
What is the source of electric energy in a circuit?,Battery,good
What is an electric bulb?,Make light,avarage
What material is used in electric wires?,  ,poor
Why are wires covered with plastic?,Safe touch,avarage
What is a dry cell?,Torch battery,good
What is a series circuit?,One path,avarage
What is a parallel circuit?,Many path,avarage
Which circuit keeps working if one bulb goes out?,  ,poor
What is a short circuit?,Bad electric,avarage
What are circuit symbols?,Picture for parts,avarage
What is a resistor?,Slow electric,avarage
What is current direction in a circuit?,Plus to minus,good
What is a load in a circuit?,Thing use electric,avarage
How can electricity be dangerous?,Hurt people,avarage
What safety rule should be followed with electricity?,No wet hands,good
What does a magnet attract?,Metal things,avarage
How do you know if a material is magnetic?,  ,poor
What is the use of magnets in daily life?,Fridge doors,avarage
What happens when electricity flows through a wire?,Gets hot,poor
What device shows the presence of electric current?,Ammeter,good
Why should we not overload an electric socket?,Too many plugs bad,avarage
How can we stop electric current in a circuit?,Turn switch off,good
What is Earth?,Our planet,good
What is the shape of Earth?,Round ball,avarage
What are the main layers of the Earth?,Outside middle inside,avarage
What is the outermost layer of Earth called?,  ,poor
What is below the Earths crust?,Hot rock,avarage
What is the innermost layer of Earth?,Center,good
What is the crust made of?,Rocks,good
What is the mantle made of?,Melted rock,avarage
What is the core made of?,Metal center,good
What are the two parts of the Earths core?,Outside and inside core,good
Is the inner core solid or liquid?,Hard,avarage
Is the outer core solid or liquid?,Melted,good
What is the importance of the crust?,We live on it,avarage
What is the thickness of the Earths crust?,Thick outside,poor
Which layer is the hottest?,Middle,avarage
Why is the mantle important?,Makes earthquakes,avarage
What is the Earths surface mostly covered with?,Water,good
What percentage of Earth is covered by water?,Most,avarage
What is the importance of water for life?,Drink,avarage
Name three uses of water.,Wash drink grow,good
What are natural sources of water?,Rain river,good
What is groundwater?,Underground water,good
What is rainwater?,From sky,avarage
How do we get water in homes?,Taps,avarage
What is the importance of saving water?,Not waste,avarage
What is soil?,Dirt,avarage
How is soil formed?,Rocks break,avarage
What are the components of soil?,Dirt stuff,poor
Name the main types of soil.,Sand clay,avarage
What is sandy soil?,Has sand,avarage
What is clayey soil?,Sticky mud,avarage
What is loamy soil?,Good dirt,avarage
What is silt soil?,Soft soil,avarage
Which soil is best for growing plants?,Brown dirt,poor
What does soil contain?,  ,poor
What is humus?,Dead stuff,avarage
Why is humus important?,Helps plants,avarage
What is soil erosion?,Dirt blows,avarage
How can we prevent soil erosion?,Plant trees,good
What is topsoil?,Good dirt,avarage
Why is soil important?,For plants,avarage
What are the characteristics of sandy soil?,Gritty,poor
What are the characteristics of clayey soil?,Thick mud,avarage
What are the characteristics of loamy soil?,Good for plants,avarage
What is the difference between clay and sand soil?,"Clay sticky, sand loose",good
What is the role of soil in farming?,Helps plants grow,good
How does water reach underground?,Goes down,avarage
What is water table?,Where water sits,avarage
What are aquifers?,Water rocks,avarage
What is potable water?,Clean water,good
How do we make water safe for drinking?,Boil it,avarage
What is water pollution?,Dirty water,avarage
Name sources of water pollution.,Factories,avarage
How can we save water?,Dont waste,good
What is the water cycle?,Water goes round,avarage
What is evaporation?,Water disappears,avarage
What is condensation?,Drops form,avarage
What is precipitation?,Rain falls,good
Why is water called a universal solvent?,Mixes things,avarage
How do plants get water?,Roots drink,good
What is groundwater recharge?,Rain fills ground,avarage
What is mineral content of soil?,Plant food,avarage
Why should we protect the Earths crust?,Keep land safe,avarage
How do human activities affect soil?,People hurt dirt,avarage
What is composting?,Rotting food helps plants,good
What is the importance of soil for animals?,Animals need dirt,avarage
What is land?,Ground,good
What is the difference between soil and land?,Dirt vs ground,avarage
What are rocks?,Hard ground,avarage
How does Earths structure help life?,We live here,avarage
What is space?,Sky above,avarage
What is space exploration?,Looking at stars,avarage
Who was the first person in space?,Russian man,good
What is NASA?,Space people,avarage
What does NASA stand for?,   ,poor
What is a satellite?,Thing going round,avarage
What are the two types of satellites?,Moon and man-made,good
What is a natural satellite?,Like moon,good
What is the Moon?,Our moon,good
What is an artificial satellite?,Human-made space thing,good
Give an example of an artificial satellite.,Hubble,good
What is the use of communication satellites?,For phones,avarage
What is the use of weather satellites?,Watch weather,good
What is the use of GPS satellites?,Find places,good
How do satellites stay in orbit?,Gravity holds,avarage
What is orbit?,Going round,good
What is a space shuttle?,Space plane,good
What is a space station?,Space house,avarage
What is the International Space Station (ISS)?,Big space lab,good
Who was the first person to walk on the Moon?,Armstrong,good
What is a planets moon?,Planets satellite,good
Does every planet have moons?,Some dont,good
Which planet has the most moons?,Big planet,avarage
How many moons does Earth have?,  one,good
How many moons does Mars have?,Two,good
What is space technology?,Space tools,avarage
What is a rocket?,Goes to space,avarage
What is a space probe?,Robot spaceship,good
Name one famous space telescope.,Hubble,good
What does a telescope do?,Makes stars bigger,good
What is the Sun?,Big fire ball,avarage
Why do we send satellites into space?,For phones and weather,good
How does a satellite help in disaster management?,Shows disasters,avarage
What is Earth observation?,Looking at Earth,good
What are navigation satellites used for?,Maps,avarage
What do scientific satellites do?,Study space,avarage
What is the benefit of space exploration?,Learn new things,avarage
What is a manned space mission?,With people,good
What is an unmanned space mission?,No people,good
Name one unmanned Mars mission.,  ,poor
What is zero gravity?,No gravity,good
Why do astronauts float in space?,No weight,good
How do astronauts eat in space?,Special food,avarage
Can we breathe in space?,Need air tanks,good
What do astronauts wear in space?,Special clothes,good
Why are space suits important?,Keep safe,avarage
What is a launchpad?,Rocket start,avarage
How long does it take to reach the Moon?,Few days,avarage
What is the atmosphere?,Air around Earth,good
Is there air in space?,No,avarage
What is a geostationary satellite?,Stays still,avarage
What is a polar satellite?,Goes over top,avarage
What does a space rover do?,Drives on planets,good
What is a meteor?,Shooting star,good
What is a comet?,Space snowball,good
What is an asteroid?,Space rock,good
What is a galaxy?,Star group,avarage
What is the name of our galaxy?,Our galaxy,good
What is the universe?,All space,good
How big is the universe?,  ,poor
What is a space mission?,Space trip,good
Why are satellites important for Earth?,Help us,avarage
What is a weather satellite?,Checks weather,good
Can we see satellites from Earth?,Sometimes,good
What is satellite imaging?,Space photos,good
What is remote sensing?,Far measuring,avarage
How does a satellite communicate with Earth?,Radio waves,good
Name one space agency other than NASA.,  ,poor
How are satellites launched into space?,Big rockets,good
What is the future of space exploration?,Go to Mars,good
What is an organ system?,Organs working together to do a job.,good
Name two examples of organ systems.,Breathing and blood systems.,avarage
How do organs form an organ system?,Organs are connected and do work together.,good
What is the main function of the respiratory system?,Breathing oxygen in and carbon dioxide out.,good
What does the circulatory system do?,Moves oxygen and food in body.,good
What is the noses role in breathing?,Nose cleans the air we breathe.,good
What is the trachea?,It's a pipe for air to go to lungs.,good
What are bronchi?,Small tubes in lungs from the big pipe.,good
What happens during inhalation?,Breathing in fills lungs.,good
What happens during exhalation?,Breathing out releases air.,good
What are lungs?,Lungs take in oxygen and let go of CO2.,good
Name three parts of the respiratory system.,"Nose, windpipe, lungs.",good
What is plasma?,Liquid in blood that moves food and messages.,good
What do red blood cells do?,They take oxygen around the body.,good
What do white blood cells do?,They fight germs.,good
What are platelets?,They help stop bleeding.,good
Name the organ that pumps blood.,Heart.,good
What are blood vessels?,Pipes that move blood.,good
Name three types of blood vessels.,"Arteries, veins, small tubes.",good
How do arteries differ from veins?,"Arteries go out, veins go in.",good
What is a capillary?,Very small blood pipes.,good
How do the circulatory and respiratory systems work together?,Breathing puts oxygen in blood.,good
What organ receives oxygen first from lungs?,Heart gets oxygen blood first.,good
What happens when you exercise?,You breathe faster and heart beats faster.,good
What part of the brain helps control breathing?,Brainstem controls breathing.,good
What sends messages to muscles to move?,Brain tells muscles to move.,good
What is the nervous system?,Controls everything and sends signals.,good
What is a stimulus?,Something that makes the body respond.,good
What is a reflex?,Fast action your body does without thinking.,good
What organ helps you respond to danger?,Brain helps you act in danger.,good
What does the spinal cord do?,Sends messages up and down.,good
What is the role of nerves?,Wires that send messages.,good
What is integration in body systems?,Body parts working together.,good
Give an example of body systems working together.,Nerves and muscles help movement.,good
What does the heart do during exercise?,Heart works more.,good
What happens to breathing during sleep?,Breathing gets slower.,good
How does the body know its hot?,Skin tells brain it's hot.,good
How does sweating help you cool down?,Sweating cools the body.,good
How does the body react to cold?,You shiver.,good
What is the diaphragm?,Muscle that helps lungs.,good
What part of blood fights infection?,White cells.,good
How does the body respond to pain?,Brain gets the pain signal.,good
Why is blood red?,Red cells have color.,good
Why do we need oxygen?,It helps make energy.,good
What is circulation?,Blood moving around.,good
What organ filters the blood?,Kidneys clean blood.,good
How does the body know to run from danger?,Brain says run.,good
Why do we cough?,To remove things from throat.,good
What is food safety?,Keeping food clean,avarage
Name two foodborne illnesses.,Food poisoning,poor
How can dirty hands affect food?,Makes food dirty,avarage
What temperature kills most bacteria?,Hot water temp,poor
Why shouldnt you eat raw chicken?,Its not cooked,avarage
What is food spoilage?,Rotten food,avarage
Give two signs of spoiled milk.,Smells bad,poor
Why does bread get moldy?,Left too long,poor
What causes browning of fruits?,Gets old,poor
How does light spoil food?,Makes it bad,poor
Name two insects that spoil food.,Bugs,poor
Why do canned foods last long?,No air inside,avarage
What is quantitative food waste?,Throwing food,avarage
What is qualitative food waste?,Bad quality,poor
Give an example of food waste at home.,Old bread,avarage
How does freezing preserve food?,Makes it cold,avarage
What foods can be frozen?,Meat,poor
Why is smoking used for meat?,For flavor,poor
What do insecticides prevent?,Bugs,avarage
What gas preserves packaged chips?,Air,poor
Name two chemical preservatives.,Salt,poor
How does sugar preserve food?,Sweet taste,poor
What is pasteurization?,Milk heating,avarage
Why is pasteurized milk safer?,No germs,avarage
What is food adulteration?,Fake food,avarage
Why is chalk added to flour?,Makes white,poor
How can you test for water in milk?,See if runny,poor
Why is adulterated food dangerous?,Can get sick,avarage
What is the danger of artificial colors?,Bad colors,poor
How does canning preserve food?,In cans,poor
Why is oil used in pickles?,For taste,poor
What does vinegar do in preservation?,Sour taste,poor
Why refrigerate leftovers?,Keeps cold,avarage
How long can cooked rice stay at room temp?,One day,poor
What causes eggs to spoil?,Gets old,poor
Why do potatoes sprout?,They grow,poor
What causes freezer burn?,Ice on food,avarage
Why seal dry foods tightly?,No bugs,avarage
How does dehydration preserve?,Dries food,avarage
What foods are often dehydrated?,Fruits,poor
Why rotate food in pantry?,First in first out,good
What is blanching before freezing?,Hot water dip,avarage
Why avoid dented cans?,Looks bad,poor
How does salt preserve meat?,Makes salty,poor
What is botulism?,Can sickness,poor
Why avoid bulging cans?,Might explode,avarage
What is cross-contamination?,Mixing germs,avarage
